토지(임야) 소재지
경북 성주군 수륜면 백운리 산56-2 일원
경남 합천군 가야면 치인리 산1-1 일원
경남 합천군 가야면 치인리 산1-1 일원
경북 성주군 가천면 법전리 산162 일원
경남 합천군 가야면 치인리 산 1-1 일원
경북 성주군 수륜면 백운리 산56-2 일원
경남 합천군 가야면 치인리 산21-1 일원
경북 경주시 양북면 호암리 산1-1 일원
경북 경주시 하동 산61-1 등 일원
경북 경주시 암곡동 산1-7 일원
경북 경주시 황용동 산321 일원
경북 경주시 내남면 노곡리 산23-1 등 일원
경북 경주시 황룡동 산120-3 일원
경북 경주시 암곡동 산1-12 등 일원
충남 공주시 반포면 학봉리 산18 일원
대전 유성구 덕명동 산29 등 일원
충남 공주시 반포면 학봉리 산18 일원
충남 계룡시 신도안면 용동리 652-1 등 일원
전북 정읍시 내장동 산228 등 일원
전북 정읍시 내장동 산196 등 일원
전북 정읍시 내장동 산228 등 일원
전북 정읍시 쌍암동 산258 일원
전남 장성군 북하면 신성리 산25 등 일원
전남 장성군 북하면 약수리 산13-1 등 일원
전남 장성군 북하면 신성리 산25 등 일원
전남 장성군 북하면 신성리 산20 등 일원
전남 장성군 북하면 신성리 727 등 일원
전남 장성군 북하면 약수리 산13-1 일원
전남 완도군 완도읍 정도리 151-1 일원
전남 완도군 소안면 이월리 산253 일원
전남 완도군 소안면 이월리 산293-4 등 일원
전남 완도군 보길면 부황리 산72 일원
"전남 완도군 보길면 예송리 산113, 공유수면(암반) 일원"
전남 고흥군 점암면 강산리 산189-1 일원
"전남 여수시 삼산면 거문리 산30~산50, 산52~산64, 산56-1, 산64-1, 공유수면 일원"
전남 완도군 청산면 당락리 1384 일원
전남 완도군 청산면 모도리 산631 일원 
"전남 완도군 신지면 월양리 산267, 산267-1, 산268, 공유수면(암반) 일원"
"전남 완도군 청산면 도청리 산221, 산222-2, 산222-4~5, 산223-2, 산224, 산782-1~3, 공유수면 일원"
"전남 고흥군 도화면 지죽리 산244, 산245, 공유수면 일원"
"전남 고흥군 도화면 지죽리 산111, 산111-1~2, 산112, 산112-1, 공유수면(암반) 일원"
"전남 고흥군 봉래면 외초리 산316-1, 산317, 산317-1, 공유수면 일원"
"전남 여수시 삼산면 동도리 산119-1~산119-4, 공유수면 일원"
"전남 여수시 삼산면 동도리 산127, 산127-1, 공유수면 일원"
전남 완도군 보길면 부황리 산43-2~산43-5 일원
"전남 완도군 신지면 신리 산128, 산128-1 일원"
"전남 여수시 남면 연도리 산604, 공유수면 일원"
"전남 고흥군 도화면 지죽리 산3,"
"산4, 공유수면 일원"
"전남 고흥군 도화면 덕중리 산322, 공유수면 일원"
"전남 완도군 보길면 예송리 산107, 공유수면 일원"
전남 여수시 삼산면 덕촌리 산172-538 일대 공유수면 일원
"전남 신안군 흑산면 진리 586,574-3, 586-3~5,586-9~10 일원 "
전남 신안군 흑산면 영산리 산2 일원
"전남 신안군 흑산면 비리 산109-2 등 5필지, 공유수면(암반) 일원"
"전남 신안군 비금도 고서리 산243, 산250, 공유수면 일원"
"전남 진도군 조도면 동거차도리 산15-1, 산15-2, 공유수면(암반) 일원"
"전남 진도군 조도면 동거차도리 산16, 산17, 공유수면(암반) 일원"
"전남 진도군 조도면 여미리 산209~212, 공유수면(암반) 일원 "
"전남 진도군 조도면 창유리 산4-1~2, 산5~6, 공유수면(암반) 일원 "
"전남 진도군 조도면 관매도리 산1-1 등 38필지, 공유수면(암반) 일원)"
"전남 진도군 조도면 독거도리 산96, 공유수면(암반) 일원"
"전남 진도군 조도면 독거도리 산107, 공유수면(암반) 일원"
"전라남도 진도군 조도면 독거도리 산104, 공유수면 일원"
전북 무주군 안성면 공정리 산6 일원
전북 무주군 설천면 삼공리 산109 일원
전북 무주군 안성면 공정리 산6 일원
전북 무주군 무풍면 삼거리 산1 일원
전북 무주군 설천면 삼공리 산109 일원
"전북 무주군 안성면 죽천리 산 177 일원,"
"경남 거창군 북상면 산수리 산 22-2 일원,"
경남 거창군 북상면 월성리 산 282 일원
전북 무주군 안성면 덕산리 산1 일원
전북 무주군 설천면 삼공리 산109 일원
경남 거창군 북상면 월성리 산282 일원
경남 거창군 북상면 월성리 산282 일원
"전북 무주군 설천면 삼공리 산109 일원,"
전북 무주군 안성면 덕산리 산1 일원
전북 무주군 설천면 두길리 산2 일원
광주광역시 북부 금곡동 산1-3~4 일원
광주광역시 동구 용연동 산2-1 등 일원
"광주광역시 북구 화암동 503, "
"508~511, 530, 531 일원"
전북 부안군 상서면 청림리 산244 등 일원
전북 부안군 변산면 중계리 산143 등 일원
전북 부안군 상서면 감교리 산148 일원
전북 부안군 변산면 청림리 
"산151, 산169 일원"
전북 부안군 상서면 청림리 산252-1 등 일원
전북 부안군 변산면 마포리 산31-1 등 일원 공유수면
전북 부안군 변산면 격포리 256-2 일원
경기 양주시 장흥면 울대리 산66-19 등 일원
서울특별시 도봉구 도봉동 412-4 등 일원
경기 양주시 장흥면 교현리 산27-1 등 일원
"경기 의정부시 호원동 229-135,"
"산92-54, 산119-15 일원"
경기 양주시 장흥면 교현리 산25-1 등 일원
경기 양주시 장흥면 울대리 486-1 등 일원
서울특별시 성북구 정릉동 산1-1 등 일원
서울특별시 종로구 평창동 산6-1 등 일원
"서울특별시 강북구 우이동 산68-1,"
"경기 고양시 덕양구 북한동 산1-1, 효자동 산19-1 일원"
서울특별시 강북구 우이동 265-12 등 일원
"서울특별시 종로구 구기동 산3-1, 산3-20 등 일원"
서울특별시 종로구 평창동 산6-1 등 일원
경기 고양시 덕양구 효자동 224 등 일원
경기 고양시 덕양구 효자동 224-6 등 일원
서울특별시 은평구 진관동 산35 등 일원
서울특별시 강북구 우이동 산71 등 일원
강원 양양군 서면 오색리 산1 등 일원
강원 인제군 북면 용대리 산12-21 등 일원
강원 인제군 인제읍 귀둔리 산242 등 일원
강원 속초시 설악동 산43-5 등 일원
강원 인제군 북면 용대리 산12-21 등 일원
강원 속초시 설악동 산41 등 일원
강원 인제군 인제읍 귀둔리 산242 일원
강원 인제군 북면 용대리 산12-21 등 일원
강원도 인제군 북면 한계리 산1-67 일원
강원도 인제군 인제읍 귀둔리 산242 일원
경북 영주시 풍기읍 수철리 산86-2 등 일원
경북 영주시 손흥면 덕현리 산37 등 일원
경북 영주시 풍기읍 삼가리 산22-1 일원
경북 영주시 순흥면 덕현리 산37 일원
경북 영주시 단산면 마락리 161 등 일원
경북 영주시 풍기읍 삼가리 산22-1 일원
경북 영주시 부석면 북지리 산48 등 일원
경북 영주시 풍기읍 삼가리 산22-1 일원
경북 영주시 풍기읍 삼가리 산22-1 일원
충북 단양군 가곡면 어의곡리 산59-1 일원
충북 단양군 대강면 사동리 산1-1 일원
충북 단양군 단양읍 천동리 산9-1 등 일원
충북 단양군 단양읍 천동리 산9-1 일원
"충북 단양군 영춘면 남천리 산60-1 일원,"
충북 단양군 가곡면 어의곡리 산59-1 일원
"충북 단양군 단양읍 천동리 산9-1 일원,"
충북 단양군 가곡면 어의곡리 산59-1 일원
충북 단양군 가곡면 어의곡리 산59-1 일원
충북 단양군 영춘면 남천리 산60-1 등 일원 
충북 단양군 대강면 용부원리 산1-13 일원
충북 보은군 속리산면 사내리 산1-1 일원
"충북 괴산군 청천면 사담리 산8-1, 산9-1, 산9-27 일원"
"충북 괴산군 칠성면 사은리 산5-1, 산10 일원"
충북 괴산군 청천면 화양리 456 일원
강원 평창군 대관령면 횡계리 산1-234 일원
강원 강릉시 연곡면 삼산리 산333 일원
강원 홍천군 내면 명개리 산1 일원
강원 평창군 대관령면 병내리 산264 등 일원
강원 강릉시 연곡면 삼산리 산1-2 등 일원
강원 강릉시 연곡면 삼산리 산1-2 일원
강원 홍천군 내면 광원리 1863 일원
강원 강릉시 연곡면 삼산리 산4 일원
강원도 평창군 대관령면 병내리 산89-1 일원
강원도 강릉시 연곡면 삼산리 산1-1 일원
충북 제천시 덕산면 수산리 산43 등 일원
